2022-06-07 12:42:13,936 [TRAIN] Iteration 0 | loss 1.912047 | accuracy 20.000000
0607 12:42:13 PM [TRAIN] Iteration 0 | loss 1.912047 | accuracy 20.000000
2022-06-07 12:42:13,995 [TRAIN] Iteration 1 | loss 1.804582 | accuracy 22.500000
0607 12:42:13 PM [TRAIN] Iteration 1 | loss 1.804582 | accuracy 22.500000
2022-06-07 12:42:14,052 [TRAIN] Iteration 2 | loss 1.726457 | accuracy 25.000000
0607 12:42:14 PM [TRAIN] Iteration 2 | loss 1.726457 | accuracy 25.000000
2022-06-07 12:42:14,108 [TRAIN] Iteration 3 | loss 1.703014 | accuracy 26.250001
0607 12:42:14 PM [TRAIN] Iteration 3 | loss 1.703014 | accuracy 26.250001
2022-06-07 12:42:14,166 [TRAIN] Iteration 4 | loss 1.683943 | accuracy 24.000001
0607 12:42:14 PM [TRAIN] Iteration 4 | loss 1.683943 | accuracy 24.000001
2022-06-07 12:42:14,225 [TRAIN] Iteration 5 | loss 1.673859 | accuracy 22.500001
0607 12:42:14 PM [TRAIN] Iteration 5 | loss 1.673859 | accuracy 22.500001
2022-06-07 12:42:14,284 [TRAIN] Iteration 6 | loss 1.690855 | accuracy 20.714286
0607 12:42:14 PM [TRAIN] Iteration 6 | loss 1.690855 | accuracy 20.714286
2022-06-07 12:42:14,341 [TRAIN] Iteration 7 | loss 1.685126 | accuracy 20.000001
0607 12:42:14 PM [TRAIN] Iteration 7 | loss 1.685126 | accuracy 20.000001
2022-06-07 12:42:14,396 [TRAIN] Iteration 8 | loss 1.681171 | accuracy 20.000001
0607 12:42:14 PM [TRAIN] Iteration 8 | loss 1.681171 | accuracy 20.000001
2022-06-07 12:42:14,451 [TRAIN] Iteration 9 | loss 1.686003 | accuracy 19.500001
0607 12:42:14 PM [TRAIN] Iteration 9 | loss 1.686003 | accuracy 19.500001
2022-06-07 12:42:14,508 [TRAIN] Iteration 10 | loss 1.679687 | accuracy 19.090910
0607 12:42:14 PM [TRAIN] Iteration 10 | loss 1.679687 | accuracy 19.090910
2022-06-07 12:42:14,564 [TRAIN] Iteration 11 | loss 1.674534 | accuracy 20.000001
0607 12:42:14 PM [TRAIN] Iteration 11 | loss 1.674534 | accuracy 20.000001
2022-06-07 12:42:14,621 [TRAIN] Iteration 12 | loss 1.685178 | accuracy 19.615385
0607 12:42:14 PM [TRAIN] Iteration 12 | loss 1.685178 | accuracy 19.615385
2022-06-07 12:42:14,679 [TRAIN] Iteration 13 | loss 1.681330 | accuracy 20.357144
0607 12:42:14 PM [TRAIN] Iteration 13 | loss 1.681330 | accuracy 20.357144
2022-06-07 12:42:14,734 [TRAIN] Iteration 14 | loss 1.681960 | accuracy 20.000001
0607 12:42:14 PM [TRAIN] Iteration 14 | loss 1.681960 | accuracy 20.000001
2022-06-07 12:42:14,790 [TRAIN] Iteration 15 | loss 1.677127 | accuracy 20.625001
0607 12:42:14 PM [TRAIN] Iteration 15 | loss 1.677127 | accuracy 20.625001
2022-06-07 12:42:14,847 [TRAIN] Iteration 16 | loss 1.670869 | accuracy 21.764707
0607 12:42:14 PM [TRAIN] Iteration 16 | loss 1.670869 | accuracy 21.764707
2022-06-07 12:42:14,902 [TRAIN] Iteration 17 | loss 1.670419 | accuracy 21.666667
