Namespace(K=1, N=5, active_random=0, batch_size=100, batch_size_test=10, cuda=True, dataset='miniImagenet', dataset_root='pretrain', dec_lr=10000, decay_interval=10000, exp_name='minimagenet_N5_S1', iterations=40000, log_interval=20, lr=0.005, metric_network='gnn_iclr_nl', mode='train', momentum=0.5, save_interval=10000, seed=1, test_N_shots=1, test_N_way=5, test_interval=2000, test_samples=10000, train_N_shots=1, train_N_way=5, unlabeled_extra=0)
Batch size: 100
Initiallize new Network Weights for enc_nn
Initiallize new Network Weights for metric_nn
EmbeddingImagenet(
  (conv1): Conv2D(3, 64, kernel_size=[3, 3], padding=1, data_format=NCHW)
  (bn1): BatchNorm2D(num_features=64, momentum=0.9, epsilon=1e-05)
  (conv2): Conv2D(64, 96, kernel_size=[3, 3], data_format=NCHW)
  (bn2): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
  (conv3): Conv2D(96, 128, kernel_size=[3, 3], padding=1, data_format=NCHW)
  (bn3): BatchNorm2D(num_features=128, momentum=0.9, epsilon=1e-05)
  (drop_3): Dropout2D(p=0.4, data_format=NCHW)
  (conv4): Conv2D(128, 256, kernel_size=[3, 3], padding=1, data_format=NCHW)
  (bn4): BatchNorm2D(num_features=256, momentum=0.9, epsilon=1e-05)
  (drop_4): Dropout2D(p=0.5, data_format=NCHW)
  (fc1): Linear(in_features=6400, out_features=128, dtype=float32)
  (bn_fc): BatchNorm1D(num_features=128, momentum=0.9, epsilon=1e-05, data_format=NCL)
)
MetricNN(
  (gnn_obj): GNN_nl(
    (layers): LayerDict(
      (layer_w0): Wcompute(
        (conv2d_1): Conv2D(133, 192, kernel_size=[1, 1], data_format=NCHW)
        (bn_1): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
        (conv2d_2): Conv2D(192, 192, kernel_size=[1, 1], data_format=NCHW)
        (bn_2): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
        (conv2d_3): Conv2D(192, 96, kernel_size=[1, 1], data_format=NCHW)
        (bn_3): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
        (conv2d_4): Conv2D(96, 96, kernel_size=[1, 1], data_format=NCHW)
        (bn_4): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
        (conv2d_last): Conv2D(96, 1, kernel_size=[1, 1], data_format=NCHW)
      )
      (layer_l0): Gconv(
        (fc): Linear(in_features=266, out_features=48, dtype=float32)
        (bn): BatchNorm1D(num_features=48, momentum=0.9, epsilon=1e-05, data_format=NCL)
      )
      (layer_w1): Wcompute(
        (conv2d_1): Conv2D(181, 192, kernel_size=[1, 1], data_format=NCHW)
        (bn_1): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
        (conv2d_2): Conv2D(192, 192, kernel_size=[1, 1], data_format=NCHW)
        (bn_2): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
        (conv2d_3): Conv2D(192, 96, kernel_size=[1, 1], data_format=NCHW)
        (bn_3): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
        (conv2d_4): Conv2D(96, 96, kernel_size=[1, 1], data_format=NCHW)
        (bn_4): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
        (conv2d_last): Conv2D(96, 1, kernel_size=[1, 1], data_format=NCHW)
      )
      (layer_l1): Gconv(
        (fc): Linear(in_features=362, out_features=48, dtype=float32)
        (bn): BatchNorm1D(num_features=48, momentum=0.9, epsilon=1e-05, data_format=NCL)
      )
    )
    (w_comp_last): Wcompute(
      (conv2d_1): Conv2D(229, 192, kernel_size=[1, 1], data_format=NCHW)
      (bn_1): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
      (conv2d_2): Conv2D(192, 192, kernel_size=[1, 1], data_format=NCHW)
      (bn_2): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
      (conv2d_3): Conv2D(192, 96, kernel_size=[1, 1], data_format=NCHW)
      (bn_3): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
      (conv2d_4): Conv2D(96, 96, kernel_size=[1, 1], data_format=NCHW)
      (bn_4): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
      (conv2d_last): Conv2D(96, 1, kernel_size=[1, 1], data_format=NCHW)
    )
    (layer_last): Gconv(
      (fc): Linear(in_features=458, out_features=5, dtype=float32)
    )
  )
)
Train Iter: 0	Loss_d_metric: 1.823996
Train Iter: 20	Loss_d_metric: 1.952223

**** TESTING WITH val ***
103 correct from 500 	Accuracy: 20.600%)
*** TEST FINISHED ***

Best test accuracy 20.6000 

Train Iter: 40	Loss_d_metric: 1.729640
Train Iter: 60	Loss_d_metric: 1.688507
Train Iter: 80	Loss_d_metric: 1.679574
Train Iter: 100	Loss_d_metric: 1.664060
Train Iter: 120	Loss_d_metric: 1.664026
Train Iter: 140	Loss_d_metric: 1.671340
Train Iter: 160	Loss_d_metric: 1.660454
Train Iter: 180	Loss_d_metric: 1.648451
Train Iter: 200	Loss_d_metric: 1.652469
Train Iter: 220	Loss_d_metric: 1.642748
Train Iter: 240	Loss_d_metric: 1.660092
Train Iter: 260	Loss_d_metric: 1.651122
Train Iter: 280	Loss_d_metric: 1.664272
Train Iter: 300	Loss_d_metric: 1.660639
Train Iter: 320	Loss_d_metric: 1.641905
Train Iter: 340	Loss_d_metric: 1.646834
Train Iter: 360	Loss_d_metric: 1.633009
Train Iter: 380	Loss_d_metric: 1.641172
Train Iter: 400	Loss_d_metric: 1.648693
Train Iter: 420	Loss_d_metric: 1.633117
Train Iter: 440	Loss_d_metric: 1.620256
Train Iter: 460	Loss_d_metric: 1.632156
Train Iter: 480	Loss_d_metric: 1.627004
Train Iter: 500	Loss_d_metric: 1.630945
Train Iter: 520	Loss_d_metric: 1.618067
Train Iter: 540	Loss_d_metric: 1.612194
Train Iter: 560	Loss_d_metric: 1.628364
Train Iter: 580	Loss_d_metric: 1.614367
Train Iter: 600	Loss_d_metric: 1.612876
Train Iter: 620	Loss_d_metric: 1.633215
Train Iter: 640	Loss_d_metric: 1.626022
Train Iter: 660	Loss_d_metric: 1.607740
Train Iter: 680	Loss_d_metric: 1.595133
Train Iter: 700	Loss_d_metric: 1.607124
Train Iter: 720	Loss_d_metric: 1.599338
Train Iter: 740	Loss_d_metric: 1.604314
Train Iter: 760	Loss_d_metric: 1.598465
Train Iter: 780	Loss_d_metric: 1.588360
Train Iter: 800	Loss_d_metric: 1.600540
Train Iter: 820	Loss_d_metric: 1.580042
Train Iter: 840	Loss_d_metric: 1.572124
Train Iter: 860	Loss_d_metric: 1.570745
Train Iter: 880	Loss_d_metric: 1.592740
Train Iter: 900	Loss_d_metric: 1.575780
Train Iter: 920	Loss_d_metric: 1.586553
Train Iter: 940	Loss_d_metric: 1.572387
Train Iter: 960	Loss_d_metric: 1.569697
Train Iter: 980	Loss_d_metric: 1.560219
Train Iter: 1000	Loss_d_metric: 1.557537
Train Iter: 1020	Loss_d_metric: 1.553809
Train Iter: 1040	Loss_d_metric: 1.552945
Train Iter: 1060	Loss_d_metric: 1.557639
Train Iter: 1080	Loss_d_metric: 1.551797
Train Iter: 1100	Loss_d_metric: 1.538699
Train Iter: 1120	Loss_d_metric: 1.538640
Train Iter: 1140	Loss_d_metric: 1.550248
Train Iter: 1160	Loss_d_metric: 1.541438
Train Iter: 1180	Loss_d_metric: 1.539670
Train Iter: 1200	Loss_d_metric: 1.515951
Train Iter: 1220	Loss_d_metric: 1.517120
Train Iter: 1240	Loss_d_metric: 1.526154
Train Iter: 1260	Loss_d_metric: 1.519012
Train Iter: 1280	Loss_d_metric: 1.525955
Train Iter: 1300	Loss_d_metric: 1.522186
Train Iter: 1320	Loss_d_metric: 1.519953
Train Iter: 1340	Loss_d_metric: 1.503233
Train Iter: 1360	Loss_d_metric: 1.511913
Train Iter: 1380	Loss_d_metric: 1.512374
Train Iter: 1400	Loss_d_metric: 1.519904
Train Iter: 1420	Loss_d_metric: 1.509918
Train Iter: 1440	Loss_d_metric: 1.502611
Train Iter: 1460	Loss_d_metric: 1.498645
Train Iter: 1480	Loss_d_metric: 1.493907
Train Iter: 1500	Loss_d_metric: 1.509487
Train Iter: 1520	Loss_d_metric: 1.493781
Train Iter: 1540	Loss_d_metric: 1.494717
Train Iter: 1560	Loss_d_metric: 1.503830
Train Iter: 1580	Loss_d_metric: 1.507311
Train Iter: 1600	Loss_d_metric: 1.495275
Train Iter: 1620	Loss_d_metric: 1.500457
Train Iter: 1640	Loss_d_metric: 1.487353
Train Iter: 1660	Loss_d_metric: 1.472482
Train Iter: 1680	Loss_d_metric: 1.480188
Train Iter: 1700	Loss_d_metric: 1.468788
Train Iter: 1720	Loss_d_metric: 1.500563
Train Iter: 1740	Loss_d_metric: 1.474969
Train Iter: 1760	Loss_d_metric: 1.486994
